stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code
890227,890227,"Park St at Albury Street",, -19.287197, 146.788574,2,http://translink.com.au/stop/890227/gtfs/,0,,
890228,890228,"Park St at Mater Hospital",, -19.289050, 146.788372,2,http://translink.com.au/stop/890228/gtfs/,0,,
890229,890229,"Fulham Rd at Diprose Street",, -19.289358, 146.786319,2,http://translink.com.au/stop/890229/gtfs/,0,,
890230,890230,"Fulham Rd at Pimlico High School",, -19.289100, 146.784044,2,http://translink.com.au/stop/890230/gtfs/,0,,
890231,890231,"Fulham Rd at TAFE College",, -19.288749, 146.780511,4,http://translink.com.au/stop/890231/gtfs/,0,,
890232,890232,"Fulham Rd at Armit Street",, -19.288455, 146.777575,4,http://translink.com.au/stop/890232/gtfs/,0,,
890233,890233,"Fulham Rd at Parson Street",, -19.288165, 146.774896,4,http://translink.com.au/stop/890233/gtfs/,0,,
890235,890235,"Nathan St at Raynor Street",, -19.295679, 146.761652,4,http://translink.com.au/stop/890235/gtfs/,0,,
890236,890236,"Nathan St at Arunta Street",, -19.293636, 146.761870,4,http://translink.com.au/stop/890236/gtfs/,0,,
890237,890237,"Charles St at Illoura Street",, -19.292872, 146.761228,4,http://translink.com.au/stop/890237/gtfs/,0,,
890238,890238,"Charles Stat Brampton Avenue",, -19.293452, 146.758706,4,http://translink.com.au/stop/890238/gtfs/,0,,
890239,890239,"Charles St at Lindeman Avenue",, -19.294177, 146.755585,4,http://translink.com.au/stop/890239/gtfs/,0,,
890240,890240,"Charles St at Cordelia Avenue",, -19.295045, 146.753669,4,http://translink.com.au/stop/890240/gtfs/,0,,
890241,890241,"Charles St at Fitzroy Street",, -19.296069, 146.752136,4,http://translink.com.au/stop/890241/gtfs/,0,,
890242,890242,"Charles St at Western Lions Park",, -19.297041, 146.750690,4,http://translink.com.au/stop/890242/gtfs/,0,,
890243,890243,"Charles St at Ellimatta Avenue",, -19.299084, 146.749188,4,http://translink.com.au/stop/890243/gtfs/,0,,
890244,890244,"Charles St at Lerida Street",, -19.301507, 146.747737,4,http://translink.com.au/stop/890244/gtfs/,0,,
890245,890245,"Charles St at Tapiolas Avenue",, -19.303778, 146.746381,4,http://translink.com.au/stop/890245/gtfs/,0,,
890246,890246,"Charles St near Sabadell St",, -19.304912, 146.744426,4,http://translink.com.au/stop/890246/gtfs/,0,,
890247,890247,"Charles St at Saderra Street",, -19.304707, 146.742117,4,http://translink.com.au/stop/890247/gtfs/,0,,
890248,890248,"Bamford Lane near Charles St",, -19.303798, 146.740750,4,http://translink.com.au/stop/890248/gtfs/,0,,
890249,890249,"Bamford Lane at Princeton Villas",, -19.301131, 146.741019,4,http://translink.com.au/stop/890249/gtfs/,0,,
890250,890250,"Bamford Lane near McBride St",, -19.295459, 146.742851,4,http://translink.com.au/stop/890250/gtfs/,0,,
890251,890251,"Mill Dr at Mount View Park",, -19.293701, 146.741486,4,http://translink.com.au/stop/890251/gtfs/,0,,
890252,890252,"Thuringowa Dr at Burnda Street",, -19.300360, 146.736119,4,http://translink.com.au/stop/890252/gtfs/,0,,
890253,890253,"Thuringowa Dr at Charles Street",, -19.305406, 146.734168,7,http://translink.com.au/stop/890253/gtfs/,0,,
